date;time;transport;group
13-06-2020;19:00:00;0;Transport Gr. 5, 6
13-06-2020;19:05:00;0;Transport Gr. 5, 6
13-06-2020;19:10:00;0;Transport Gr. 5, 6
13-06-2020;19:15:00;0;Transport Gr. 5, 6
13-06-2020;19:20:00;0;Transport Gr. 5, 6
13-06-2020;19:25:00;0;Transport Gr. 5, 6
13-06-2020;19:30:00;0;Transport Gr. 5, 6
13-06-2020;19:35:00;0;Transport Gr. 5, 6
13-06-2020;19:40:00;0;Transport Gr. 5, 6
13-06-2020;19:45:00;0;Transport Gr. 5, 6
13-06-2020;19:50:00;0;Transport Gr. 5, 6
13-06-2020;19:55:00;0;Transport Gr. 5, 6
13-06-2020;20:00:00;0;Transport Gr. 5, 6
13-06-2020;20:05:00;0;Transport Gr. 5, 6
13-06-2020;20:10:00;0;Transport Gr. 5, 6
13-06-2020;20:15:00;0;Transport Gr. 5, 6
13-06-2020;20:20:00;0;Transport Gr. 5, 6
13-06-2020;20:25:00;0;Transport Gr. 5, 6
13-06-2020;20:30:00;0;Transport Gr. 5, 6
13-06-2020;20:35:00;0;Transport Gr. 5, 6
13-06-2020;20:40:00;0;Transport Gr. 5, 6
13-06-2020;20:45:00;0;Transport Gr. 5, 6
13-06-2020;20:50:00;0;Transport Gr. 5, 6
13-06-2020;20:55:00;0;Transport Gr. 5, 6
13-06-2020;21:00:00;0;Transport Gr. 5, 6
13-06-2020;21:05:00;0;Transport Gr. 5, 6
13-06-2020;21:10:00;0;Transport Gr. 5, 6
13-06-2020;21:15:00;0;Transport Gr. 5, 6
13-06-2020;21:20:00;0;Transport Gr. 5, 6
13-06-2020;21:25:00;0;Transport Gr. 5, 6
13-06-2020;21:30:00;0;Transport Gr. 5, 6
13-06-2020;21:35:00;0;Transport Gr. 5, 6
13-06-2020;21:40:00;0;Transport Gr. 5, 6
13-06-2020;21:45:00;0;Transport Gr. 5, 6
13-06-2020;21:50:00;0;Transport Gr. 5, 6
13-06-2020;21:55:00;0;Transport Gr. 5, 6
13-06-2020;22:00:00;0;Transport Gr. 5, 6
13-06-2020;22:05:00;0;Transport Gr. 5, 6
13-06-2020;22:10:00;0;Transport Gr. 5, 6
13-06-2020;22:15:00;0;Transport Gr. 5, 6
13-06-2020;22:20:00;0;Transport Gr. 5, 6
13-06-2020;22:25:00;0;Transport Gr. 5, 6
13-06-2020;22:30:00;0;Transport Gr. 5, 6
13-06-2020;22:35:00;0;Transport Gr. 5, 6
13-06-2020;22:40:00;0;Transport Gr. 5, 6
13-06-2020;22:45:00;0;Transport Gr. 5, 6
13-06-2020;22:50:00;0;Transport Gr. 5, 6
13-06-2020;22:55:00;0;Transport Gr. 5, 6
13-06-2020;23:00:00;0;Transport Gr. 5, 6
13-06-2020;23:05:00;0;Transport Gr. 5, 6
13-06-2020;23:10:00;0;Transport Gr. 5, 6
13-06-2020;23:15:00;0;Transport Gr. 5, 6
13-06-2020;23:20:00;0;Transport Gr. 5, 6
13-06-2020;23:25:00;0;Transport Gr. 5, 6
13-06-2020;23:30:00;0;Transport Gr. 5, 6
13-06-2020;23:35:00;0;Transport Gr. 5, 6
13-06-2020;23:40:00;0;Transport Gr. 5, 6
13-06-2020;23:45:00;0;Transport Gr. 5, 6
13-06-2020;23:50:00;0;Transport Gr. 5, 6
13-06-2020;23:55:00;0;Transport Gr. 5, 6
14-06-2020;00:00:00;0;Transport Gr. 5, 6
14-06-2020;00:05:00;0;Transport Gr. 5, 6
14-06-2020;00:10:00;0;Transport Gr. 5, 6
14-06-2020;00:15:00;0;Transport Gr. 5, 6
14-06-2020;00:20:00;0;Transport Gr. 5, 6
14-06-2020;00:25:00;0;Transport Gr. 5, 6
14-06-2020;00:30:00;0;Transport Gr. 5, 6
14-06-2020;00:35:00;0;Transport Gr. 5, 6
14-06-2020;00:40:00;0;Transport Gr. 5, 6
14-06-2020;00:45:00;0;Transport Gr. 5, 6
14-06-2020;00:50:00;0;Transport Gr. 5, 6
14-06-2020;00:55:00;0;Transport Gr. 5, 6
14-06-2020;01:00:00;0;Transport Gr. 5, 6
14-06-2020;01:05:00;0;Transport Gr. 5, 6
14-06-2020;01:10:00;0;Transport Gr. 5, 6
14-06-2020;01:15:00;0;Transport Gr. 5, 6
14-06-2020;01:20:00;0;Transport Gr. 5, 6
14-06-2020;01:25:00;0;Transport Gr. 5, 6
14-06-2020;01:30:00;0;Transport Gr. 5, 6
14-06-2020;01:35:00;0;Transport Gr. 5, 6
14-06-2020;01:40:00;0;Transport Gr. 5, 6
14-06-2020;01:45:00;0;Transport Gr. 5, 6
14-06-2020;01:50:00;0;Transport Gr. 5, 6
14-06-2020;01:55:00;0;Transport Gr. 5, 6
14-06-2020;02:00:00;0;Transport Gr. 5, 6
14-06-2020;02:05:00;0;Transport Gr. 5, 6
14-06-2020;02:10:00;0;Transport Gr. 5, 6
14-06-2020;02:15:00;0;Transport Gr. 5, 6
14-06-2020;02:20:00;0;Transport Gr. 5, 6
14-06-2020;02:25:00;0;Transport Gr. 5, 6
14-06-2020;02:30:00;0;Transport Gr. 5, 6
14-06-2020;02:35:00;0;Transport Gr. 5, 6
14-06-2020;02:40:00;0;Transport Gr. 5, 6
14-06-2020;02:45:00;0;Transport Gr. 5, 6
14-06-2020;02:50:00;0;Transport Gr. 5, 6
14-06-2020;02:55:00;0;Transport Gr. 5, 6
14-06-2020;03:00:00;0;Transport Gr. 5, 6
14-06-2020;03:05:00;0;Transport Gr. 5, 6
14-06-2020;03:10:00;0;Transport Gr. 5, 6
14-06-2020;03:15:00;0;Transport Gr. 5, 6
14-06-2020;03:20:00;467;Transport Gr. 5, 6
14-06-2020;03:25:00;633;Transport Gr. 5, 6
14-06-2020;03:30:00;814;Transport Gr. 5, 6
14-06-2020;03:35:00;980;Transport Gr. 5, 6
14-06-2020;03:40:00;1152;Transport Gr. 5, 6
14-06-2020;03:45:00;1331;Transport Gr. 5, 6
14-06-2020;03:50:00;1524;Transport Gr. 5, 6
14-06-2020;03:55:00;1728;Transport Gr. 5, 6
14-06-2020;04:00:00;1953;Transport Gr. 5, 6
14-06-2020;04:05:00;2039;Transport Gr. 5, 6
14-06-2020;04:10:00;2035;Transport Gr. 5, 6
14-06-2020;04:15:00;2032;Transport Gr. 5, 6
14-06-2020;04:20:00;2029;Transport Gr. 5, 6
14-06-2020;04:25:00;2032;Transport Gr. 5, 6
14-06-2020;04:30:00;2073;Transport Gr. 5, 6
14-06-2020;04:35:00;2139;Transport Gr. 5, 6
14-06-2020;04:40:00;2221;Transport Gr. 5, 6
14-06-2020;04:45:00;2301;Transport Gr. 5, 6
14-06-2020;04:50:00;2369;Transport Gr. 5, 6
14-06-2020;04:55:00;2454;Transport Gr. 5, 6
14-06-2020;05:00:00;2534;Transport Gr. 5, 6
14-06-2020;05:05:00;2603;Transport Gr. 5, 6
14-06-2020;05:10:00;2690;Transport Gr. 5, 6
14-06-2020;05:15:00;2755;Transport Gr. 5, 6
14-06-2020;05:20:00;2812;Transport Gr. 5, 6
14-06-2020;05:25:00;2894;Transport Gr. 5, 6
14-06-2020;05:30:00;2935;Transport Gr. 5, 6
14-06-2020;05:35:00;2932;Transport Gr. 5, 6
14-06-2020;05:40:00;2921;Transport Gr. 5, 6
14-06-2020;05:45:00;2921;Transport Gr. 5, 6
14-06-2020;05:50:00;2910;Transport Gr. 5, 6
14-06-2020;05:55:00;2907;Transport Gr. 5, 6
14-06-2020;06:00:00;2903;Transport Gr. 5, 6
14-06-2020;06:05:00;2911;Transport Gr. 5, 6
14-06-2020;06:10:00;2903;Transport Gr. 5, 6
14-06-2020;06:15:00;2914;Transport Gr. 5, 6
14-06-2020;06:20:00;2911;Transport Gr. 5, 6
14-06-2020;06:25:00;2911;Transport Gr. 5, 6
14-06-2020;06:30:00;2904;Transport Gr. 5, 6
14-06-2020;06:35:00;2907;Transport Gr. 5, 6
14-06-2020;06:40:00;2907;Transport Gr. 5, 6
14-06-2020;06:45:00;2900;Transport Gr. 5, 6
14-06-2020;06:50:00;2896;Transport Gr. 5, 6
14-06-2020;06:55:00;2893;Transport Gr. 5, 6
14-06-2020;07:00:00;2890;Transport Gr. 5, 6
14-06-2020;07:05:00;2889;Transport Gr. 5, 6
14-06-2020;07:10:00;2872;Transport Gr. 5, 6
14-06-2020;07:15:00;2878;Transport Gr. 5, 6
14-06-2020;07:20:00;2874;Transport Gr. 5, 6
14-06-2020;07:25:00;2868;Transport Gr. 5, 6
14-06-2020;07:30:00;2775;Transport Gr. 5, 6
14-06-2020;07:35:00;2622;Transport Gr. 5, 6
14-06-2020;07:40:00;2482;Transport Gr. 5, 6
14-06-2020;07:45:00;2325;Transport Gr. 5, 6
14-06-2020;07:50:00;2161;Transport Gr. 5, 6
14-06-2020;07:55:00;2029;Transport Gr. 5, 6
14-06-2020;08:00:00;1878;Transport Gr. 5, 6
14-06-2020;08:05:00;1734;Transport Gr. 5, 6
14-06-2020;08:10:00;1588;Transport Gr. 5, 6
14-06-2020;08:15:00;1437;Transport Gr. 5, 6
14-06-2020;08:20:00;1302;Transport Gr. 5, 6
14-06-2020;08:25:00;1190;Transport Gr. 5, 6
14-06-2020;08:30:00;1066;Transport Gr. 5, 6
14-06-2020;08:35:00;950;Transport Gr. 5, 6
14-06-2020;08:40:00;873;Transport Gr. 5, 6
14-06-2020;08:45:00;775;Transport Gr. 5, 6
14-06-2020;08:50:00;669;Transport Gr. 5, 6
